Person,Item,Ratings
6,whole milk,7.0
6,butter,7.0
6,yogurt,7.0
6,rice,9.0
6,abrasive cleaner,7.0
8,other vegetables,9.0
8,UHT-milk,6.0
8,rolls/buns,7.0
8,bottled beer,5.0
8,liquor (appetizer),8.0
11,tropical fruit,9.0
11,other vegetables,9.0
11,white bread,6.0
11,bottled water,4.0
11,chocolate,7.0
12,citrus fruit,9.0
12,tropical fruit,9.0
12,whole milk,6.0
12,butter,5.0
12,curd,8.0
12,yogurt,7.0
12,flour,6.0
12,bottled water,7.0
12,dishes,8.0
24,tropical fruit,9.0
24,cream cheese ,7.0
24,processed cheese,5.0
24,detergent,5.0
24,newspapers,7.0
25,tropical fruit,9.0
25,root vegetables,9.0
25,other vegetables,9.0
25,frozen dessert,8.0
25,rolls/buns,5.0
25,flour,6.0
25,sweet spreads,7.0
25,salty snack,8.0
25,waffles,6.0
25,candy,6.0
25,bathroom cleaner,7.0
30,brown bread,6.0
30,soda,4.0
30,fruit/vegetable juice,8.0
30,canned beer,8.0
30,newspapers,7.0
30,shopping bags,8.0
32,hamburger meat,7.0
32,other vegetables,9.0
32,rolls/buns,6.0
32,spices,9.0
32,bottled water,4.0
32,hygiene articles,7.0
32,napkins,7.0
33,root vegetables,9.0
33,other vegetables,9.0
33,whole milk,8.0
33,beverages,4.0
33,sugar,6.0
34,pork,8.0
34,berries,9.0
34,other vegetables,9.0
34,whole milk,8.0
34,whipped/sour cream,6.0
34,artif. sweetener,4.0
34,soda,4.0
34,abrasive cleaner,7.0
41,sausage,8.0
41,rolls/buns,8.0
41,soda,4.0
41,canned beer,8.0
41,specialty bar,8.0
41,shopping bags,8.0
42,tropical fruit,9.0
42,root vegetables,9.0
42,whole milk,8.0
42,yogurt,8.0
42,domestic eggs,8.0
42,brown bread,6.0
42,pastry,6.0
42,sugar,6.0
42,cereals,8.0
42,coffee,8.0
42,soda,4.0
42,waffles,6.0
42,candy,8.0
45,butter milk,8.0
45,yogurt,8.0
45,cream cheese ,8.0
45,spread cheese,8.0
45,rolls/buns,8.0
45,bottled water,8.0
45,soda,4.0
45,newspapers,7.0
50,root vegetables,9.0
50,other vegetables,9.0
50,butter,8.0
50,curd,8.0
50,whipped/sour cream,8.0
50,UHT-milk,8.0
50,hard cheese,8.0
50,rolls/buns,8.0
50,bottled water,8.0
50,long life bakery product,4.0
54,turkey,5.0
54,tropical fruit,9.0
54,other vegetables,9.0
54,curd,8.0
54,domestic eggs,8.0
54,brown bread,6.0
54,semi-finished bread,8.0
54,margarine,8.0
54,baking powder,6.0
54,fruit/vegetable juice,8.0
